groupID,Duration = 0,Duration > 20,Duration > 30,RelaxedUser Num,Issue wo Milstone,Issue Delayed
11,0.28125,0.3125,0.15625,0.0,0.1875,0.5
10,0.24705882352941178,0.3764705882352941,0.35294117647058826,0.25,0.0,0.47619047619047616
13,0.6792452830188679,0.0,0.0,0.5,0.5471698113207547,0.45454545454545453
12,0.2857142857142857,0.03571428571428571,0.0,0.5,0.14285714285714285,0.0
14,0.6666666666666666,0.0,0.0,0.25,0.6875,0.0
1,0.2894736842105263,0.05263157894736842,0.0,0.0,0.34210526315789475,0.12
3,0.3225806451612903,0.3548387096774194,0.22580645161290322,0.0,0.7096774193548387,0.0
2,0.42857142857142855,0.08571428571428572,0.02857142857142857,0.0,0.2857142857142857,0.0
5,0.40350877192982454,0.22807017543859648,0.12280701754385964,0.25,0.8245614035087719,0.0
4,0.5408163265306123,0.10204081632653061,0.10204081632653061,0.0,0.14285714285714285,0.3670886075949367
7,0.41379310344827586,0.022988505747126436,0.011494252873563218,0.0,0.25287356321839083,0.32786885245901637
6,0.46511627906976744,0.011627906976744186,0.011627906976744186,0.0,0.0,0.313953488372093
9,0.28846153846153844,0.21153846153846154,0.1346153846153846,0.0,0.038461538461538464,0.08
8,0.35555555555555557,0.05555555555555555,0.011111111111111112,0.0,0.06666666666666667,0.4166666666666667
